species,code,class,order,family,genus
Agrostis capillaris,AGRcap,Liliopsida,Poales,Poaceae,Agrostis
Alopecurus geniculatus,ALOgen,Liliopsida,Poales,Poaceae,Setaria
Amphibromus fluitans,AMPflu,Liliopsida,Poales,Poaceae,Amphibromus
Anthoxanthum odoratum,ANTodo,Liliopsida,Poales,Poaceae,Anthoxanthum
Carex gaudichaudiana,CARgau,Liliopsida,Poales,Cyperaceae,Carex
Carex ovalis,CARova,Liliopsida,Poales,Cyperaceae,Carex
Eleocharis acuta,ELAacu,Liliopsida,Poales,Cyperaceae,Eleocharis
Eleocharis pusilla,ELApus,Liliopsida,Poales,Cyperaceae,Eleocharis
Epilobium angustum,EPIang,Magnoliopsida,Myrtales,Onagraceae,Epilobium
Festuca novae-zelandiae,FESnov,Liliopsida,Poales,Poaceae,Festuca
Galium perpusillum,GALper,Magnoliopsida,Gentianales,Rubiaceae,Galium
Glossostigma elatinoides,GLOela,Magnoliopsida,Lamiales,Phrymaceae,Glossostigma
Juncus articulatus,JUNart,Liliopsida,Poales,Juncaceae,Juncus
Lachnagrostis lyallii,LAClya,Liliopsida,Poales,Poaceae,Lachnagrostis
Lachnagrostis striata,LACstr,Liliopsida,Poales,Poaceae,Lachnagrostis
Leucopogon fraseri,LEUfra,Magnoliopsida,Ericales,Ericaceae,Cyathodes
Lilaeopsis ruthiana,LILrut,Magnoliopsida,Apiales,Apiaceae,Lilaeopsis
Lobelia perpusilla,LOBper,Magnoliopsida,Asterales,Campanulaceae,Lobelia
Myriophyllum propinquum,MYRpro,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum
Parahebe canescens,PARcan,Magnoliopsida,Lamiales,Plantaginaceae,Veronica
Pilosella officinarum,PILoff,Magnoliopsida,Asterales,Asteraceae,Pilosella
Pilosella piloselloides,PILpil,Magnoliopsida,Asterales,Asteraceae,Pilosella
Potamogeton cheesemanii,POTche,Liliopsida,Alismatales,Potamogetonaceae,Potamogeton
